name,occupation,gender,orientation,wikidata_url
Joël de Rosnay,computer scientist,male,,http://www.wikidata.org/entity/Q92676
Michael Lynn,computer scientist,male,,http://www.wikidata.org/entity/Q92677
David G. Lowe,computer scientist,male,,http://www.wikidata.org/entity/Q92679
David Gelernter,computer scientist,male,,http://www.wikidata.org/entity/Q92680
Rémy Card,computer scientist,male,,http://www.wikidata.org/entity/Q92681
Jon Bosak,computer scientist,male,,http://www.wikidata.org/entity/Q92682
Damian Conway,computer scientist,male,,http://www.wikidata.org/entity/Q92683
Sartaj Sahni,computer scientist,male,,http://www.wikidata.org/entity/Q92684
Norbert Pohlmann,computer scientist,male,,http://www.wikidata.org/entity/Q92685
David H. D. Warren,computer scientist,male,,http://www.wikidata.org/entity/Q92686
William Warren Tunnicliffe,computer scientist,male,,http://www.wikidata.org/entity/Q92687
John Pasta,computer scientist,male,,http://www.wikidata.org/entity/Q92688
Harald Ganzinger,computer scientist,male,,http://www.wikidata.org/entity/Q92690
Daniel G. Bobrow,computer scientist,male,,http://www.wikidata.org/entity/Q92691
Rudi Studer,computer scientist,male,,http://www.wikidata.org/entity/Q92692
Richard Crandall,computer scientist,male,,http://www.wikidata.org/entity/Q92693
Andy Hopper,computer scientist,male,,http://www.wikidata.org/entity/Q92694
Philippe Flajolet,computer scientist,male,,http://www.wikidata.org/entity/Q92695
David Harris,computer scientist,male,,http://www.wikidata.org/entity/Q92696
Yiannis N. Moschovakis,computer scientist,male,,http://www.wikidata.org/entity/Q92697
Horst Zuse,computer scientist,male,,http://www.wikidata.org/entity/Q92698
Dieter Fox,computer scientist,male,,http://www.wikidata.org/entity/Q92699
Stephen Brewster,computer scientist,male,,http://www.wikidata.org/entity/Q92700
Dawn Song,computer scientist,female,,http://www.wikidata.org/entity/Q92701
Vijay Vazirani,computer scientist,male,,http://www.wikidata.org/entity/Q92702
